stat_id,athlete_id,season_year,sport_id,games_played,wins,losses,score_metric,mvp_awards,championship_wins,injury_days,notes
259,87,2021,2,12,26,-14,41.1,1,0,11,"Batting avg: 41.1, Runs: 1218, Centuries: 5"
260,87,2024,2,44,14,30,34.3,0,1,29,"Batting avg: 34.3, Runs: 1322, Centuries: 4"
261,87,2022,2,39,34,5,41.2,0,1,20,"Batting avg: 41.2, Runs: 1744, Centuries: 9"
262,88,2023,6,19,30,-11,49.8,1,1,22,"Batting avg: 49.8, Runs: 530, Centuries: 15"
263,88,2022,6,12,9,3,53.7,0,1,0,"Batting avg: 53.7, Runs: 1122, Centuries: 7"
264,88,2024,6,38,16,22,33.2,0,0,18,"Batting avg: 33.2, Runs: 1378, Centuries: 7"
265,89,2022,6,15,22,-7,59.7,2,0,16,"Batting avg: 59.7, Runs: 1107, Centuries: 6"
266,89,2021,6,41,15,26,51.1,2,0,29,"Batting avg: 51.1, Runs: 1665, Centuries: 11"
267,89,2020,6,35,9,26,55.1,1,1,12,"Batting avg: 55.1, Runs: 1063, Centuries: 0"
268,90,2022,6,29,19,10,60.6,0,0,23,"Batting avg: 60.6, Runs: 1209, Centuries: 13"
269,90,2024,6,38,14,24,35.7,2,1,23,"Batting avg: 35.7, Runs: 1148, Centuries: 4"
270,90,2021,6,47,24,23,33.0,0,1,15,"Batting avg: 33.0, Runs: 1375, Centuries: 10"
271,91,2020,6,10,18,-8,52.4,1,1,5,"Batting avg: 52.4, Runs: 1438, Centuries: 14"
272,91,2023,6,46,29,17,62.0,0,0,26,"Batting avg: 62.0, Runs: 1081, Centuries: 9"
273,91,2024,6,45,20,25,31.5,1,1,15,"Batting avg: 31.5, Runs: 1445, Centuries: 14"
274,92,2021,6,19,13,6,40.5,2,1,3,"Batting avg: 40.5, Runs: 1639, Centuries: 9"
275,92,2020,6,36,10,26,47.2,2,0,0,"Batting avg: 47.2, Runs: 544, Centuries: 8"
276,92,2023,6,41,7,34,51.0,1,1,18,"Batting avg: 51.0, Runs: 1193, Centuries: 8"
277,93,2023,1,42,28,14,50.1,1,0,18,"Batting avg: 50.1, Runs: 419, Centuries: 4"
278,93,2020,1,30,19,11,60.7,0,1,5,"Batting avg: 60.7, Runs: 408, Centuries: 8"
279,93,2021,1,33,18,15,52.3,1,0,9,"Batting avg: 52.3, Runs: 897, Centuries: 2"
280,94,2024,1,21,29,-8,33.3,0,1,27,"Batting avg: 33.3, Runs: 947, Centuries: 9"
281,94,2021,1,27,26,1,54.4,1,0,17,"Batting avg: 54.4, Runs: 1487, Centuries: 11"
282,94,2022,1,19,5,14,34.8,1,1,24,"Batting avg: 34.8, Runs: 1293, Centuries: 13"
283,95,2022,1,23,9,14,47.6,0,0,13,"Batting avg: 47.6, Runs: 1243, Centuries: 2"
284,95,2021,1,17,31,-14,34.6,0,1,11,"Batting avg: 34.6, Runs: 938, Centuries: 11"
285,95,2020,1,18,31,-13,45.5,2,1,5,"Batting avg: 45.5, Runs: 1753, Centuries: 9"
286,96,2020,1,18,32,-14,54.3,2,0,9,"Batting avg: 54.3, Runs: 556, Centuries: 6"
287,96,2024,1,18,7,11,44.9,0,0,0,"Batting avg: 44.9, Runs: 1886, Centuries: 15"
288,96,2023,1,37,6,31,36.9,0,0,15,"Batting avg: 36.9, Runs: 543, Centuries: 8"
289,97,2020,1,10,29,-19,33.4,0,0,18,"Batting avg: 33.4, Runs: 709, Centuries: 5"
290,97,2024,1,32,5,27,33.2,2,1,30,"Batting avg: 33.2, Runs: 1487, Centuries: 11"
291,97,2021,1,32,10,22,59.9,2,0,16,"Batting avg: 59.9, Runs: 1467, Centuries: 2"
292,98,2020,1,23,27,-4,36.7,1,0,28,"Batting avg: 36.7, Runs: 1844, Centuries: 0"
293,98,2024,1,16,34,-18,37.5,2,1,11,"Batting avg: 37.5, Runs: 1729, Centuries: 5"
294,98,2022,1,38,26,12,63.5,0,1,12,"Batting avg: 63.5, Runs: 1168, Centuries: 6"
295,99,2024,1,17,29,-12,64.5,0,1,3,"Batting avg: 64.5, Runs: 1364, Centuries: 4"
296,99,2021,1,41,29,12,42.6,1,0,2,"Batting avg: 42.6, Runs: 971, Centuries: 15"
297,99,2023,1,17,17,0,39.9,2,1,21,"Batting avg: 39.9, Runs: 1209, Centuries: 7"
298,100,2024,1,37,11,26,60.0,1,1,5,"Batting avg: 60.0, Runs: 326, Centuries: 15"
299,100,2023,1,16,17,-1,45.3,2,0,3,"Batting avg: 45.3, Runs: 593, Centuries: 12"
300,100,2021,1,35,27,8,50.7,0,0,2,"Batting avg: 50.7, Runs: 1044, Centuries: 6"
301,101,2022,1,48,32,16,64.7,0,0,26,"Batting avg: 64.7, Runs: 1169, Centuries: 15"
302,101,2021,1,27,29,-2,55.0,2,1,24,"Batting avg: 55.0, Runs: 1916, Centuries: 12"
303,102,2022,1,48,35,13,44.2,1,1,4,"Batting avg: 44.2, Runs: 1872, Centuries: 14"
304,102,2023,1,16,8,8,38.8,1,0,20,"Batting avg: 38.8, Runs: 575, Centuries: 0"
305,103,2020,1,14,20,-6,53.7,0,1,19,"Batting avg: 53.7, Runs: 1691, Centuries: 10"
306,103,2024,1,19,14,5,51.8,0,0,21,"Batting avg: 51.8, Runs: 1839, Centuries: 15"
307,104,2023,1,28,26,2,47.4,2,1,17,"Batting avg: 47.4, Runs: 1003, Centuries: 0"
308,104,2021,1,12,18,-6,60.8,0,1,14,"Batting avg: 60.8, Runs: 944, Centuries: 12"
309,105,2023,1,12,6,6,36.2,2,1,28,"Batting avg: 36.2, Runs: 1746, Centuries: 5"
310,105,2024,1,41,18,23,34.7,2,1,15,"Batting avg: 34.7, Runs: 1864, Centuries: 3"
311,106,2024,1,45,26,19,48.9,1,1,17,"Batting avg: 48.9, Runs: 620, Centuries: 1"
312,106,2023,1,35,13,22,47.3,1,1,24,"Batting avg: 47.3, Runs: 882, Centuries: 10"
313,107,2020,1,47,6,41,34.5,1,1,25,"Batting avg: 34.5, Runs: 1819, Centuries: 0"
314,107,2024,1,50,15,35,43.3,1,1,11,"Batting avg: 43.3, Runs: 1143, Centuries: 11"
315,108,2020,2,25,12,13,52.7,2,0,29,"Batting avg: 52.7, Runs: 1709, Centuries: 2"
316,108,2021,2,29,8,21,41.8,0,1,1,"Batting avg: 41.8, Runs: 1243, Centuries: 13"
317,109,2024,2,27,5,22,54.4,2,0,10,"Batting avg: 54.4, Runs: 1073, Centuries: 12"
318,109,2023,2,30,23,7,33.4,1,0,22,"Batting avg: 33.4, Runs: 1682, Centuries: 6"
319,110,2022,2,42,30,12,56.8,1,0,19,"Batting avg: 56.8, Runs: 913, Centuries: 11"
320,110,2023,2,37,11,26,47.4,0,0,9,"Batting avg: 47.4, Runs: 843, Centuries: 1"
321,111,2022,3,24,24,0,56.0,0,0,18,"Batting avg: 56.0, Runs: 989, Centuries: 8"
322,111,2023,3,14,23,-9,58.0,1,1,6,"Batting avg: 58.0, Runs: 1011, Centuries: 2"
323,112,2022,3,37,26,11,48.9,0,1,12,"Batting avg: 48.9, Runs: 814, Centuries: 14"
324,112,2024,3,45,10,35,60.8,2,0,18,"Batting avg: 60.8, Runs: 1322, Centuries: 6"
325,113,2023,3,50,22,28,58.3,1,0,16,"Batting avg: 58.3, Runs: 710, Centuries: 11"
326,113,2022,3,39,9,30,38.4,2,1,27,"Batting avg: 38.4, Runs: 1191, Centuries: 13"
327,114,2022,3,50,11,39,59.6,1,1,20,"Batting avg: 59.6, Runs: 628, Centuries: 8"
328,114,2020,3,48,12,36,44.2,0,0,6,"Batting avg: 44.2, Runs: 356, Centuries: 7"
329,115,2022,3,41,22,19,64.7,1,0,6,"Batting avg: 64.7, Runs: 626, Centuries: 8"
330,115,2023,3,18,5,13,39.0,1,0,20,"Batting avg: 39.0, Runs: 386, Centuries: 15"
331,116,2020,3,15,15,0,51.1,0,1,28,"Batting avg: 51.1, Runs: 1044, Centuries: 2"
332,116,2024,3,35,35,0,59.4,0,0,3,"Batting avg: 59.4, Runs: 1469, Centuries: 3"
333,117,2024,3,41,33,8,33.2,2,0,24,"Batting avg: 33.2, Runs: 1952, Centuries: 10"
334,117,2022,3,31,31,0,50.5,1,0,29,"Batting avg: 50.5, Runs: 1166, Centuries: 6"
335,118,2021,10,21,11,10,63.9,1,1,8,"Batting avg: 63.9, Runs: 1507, Centuries: 1"
336,118,2020,10,41,22,19,43.1,0,1,17,"Batting avg: 43.1, Runs: 1167, Centuries: 15"
337,119,2021,10,19,16,3,46.6,1,1,0,"Batting avg: 46.6, Runs: 1621, Centuries: 1"
338,119,2022,10,13,27,-14,62.1,2,0,8,"Batting avg: 62.1, Runs: 1431, Centuries: 12"
339,120,2022,10,17,22,-5,60.3,1,1,0,"Batting avg: 60.3, Runs: 1104, Centuries: 8"
340,120,2024,10,29,7,22,62.8,0,1,6,"Batting avg: 62.8, Runs: 628, Centuries: 14"
