athlete_id,full_name,birth_date,nationality,gender,is_active,profile_bio,photo_url,height_cm,weight_kg,extra_attributes,created_at
100,Tyreek Hill,1994-03-01,American,M,TRUE,"Cheetah WR, Miami Dolphins",https://cdn.sportsimages.com/athletes/100.jpg,178.0,84.8,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2022-01-07
101,Derrick Henry,1994-01-04,American,M,TRUE,"Power running back, Baltimore Ravens",https://cdn.sportsimages.com/athletes/101.jpg,188.0,111.1,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""gold""}",2020-08-02
102,Christian McCaffrey,1996-06-07,American,M,TRUE,"49ers RB, 2023 AP Offensive Player of Year",https://cdn.sportsimages.com/athletes/102.jpg,180.3,97.5,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""gold""}",2020-12-19
103,Saquon Barkley,1997-02-09,American,M,TRUE,Philadelphia Eagles running back,https://cdn.sportsimages.com/athletes/103.jpg,183.0,105.7,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""gold""}",2020-12-28
104,Micah Parsons,1999-05-26,American,M,TRUE,Dallas Cowboys DPOY candidate,https://cdn.sportsimages.com/athletes/104.jpg,191.0,107.5,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""platinum""}",2021-12-24
105,Nick Bosa,1997-10-23,American,M,TRUE,"SF 49ers DE, 2022 DPOY",https://cdn.sportsimages.com/athletes/105.jpg,193.0,121.1,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""platinum""}",2020-01-03
106,Myles Garrett,1995-12-29,American,M,TRUE,"Cleveland Browns DE, DPOY 2023",https://cdn.sportsimages.com/athletes/106.jpg,196.0,114.3,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""gold""}",2020-07-05
107,T.J. Watt,1994-10-11,American,M,TRUE,"Pittsburgh Steelers LB, DPOY 2021",https://cdn.sportsimages.com/athletes/107.jpg,193.0,106.1,"{""sport_id"": 1, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2022-01-01
108,Fred VanVleet,1994-02-22,American,M,TRUE,Houston Rockets PG,https://cdn.sportsimages.com/athletes/108.jpg,185.4,88.5,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2021-09-15
109,Andrew Wiggins,1995-02-23,Canadian,M,TRUE,Golden State Warriors,https://cdn.sportsimages.com/athletes/109.jpg,201.0,89.8,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""platinum""}",2020-05-12
110,OG Anunoby,1997-07-17,British,M,TRUE,New York Knicks,https://cdn.sportsimages.com/athletes/110.jpg,201.0,102.1,"{""sport_id"": 2, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""platinum""}",2020-05-17
111,Pedri,2002-11-25,Spanish,M,TRUE,FC Barcelona midfield prodigy,https://cdn.sportsimages.com/athletes/111.jpg,174.0,60.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""silver""}",2020-07-25
112,Frenkie de Jong,1997-05-12,Dutch,M,TRUE,FC Barcelona midfielder,https://cdn.sportsimages.com/athletes/112.jpg,180.0,74.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""gold""}",2021-04-28
113,Thibaut Courtois,1992-05-11,Belgian,M,TRUE,"Real Madrid goalkeeper, 2022 Champions League winner",https://cdn.sportsimages.com/athletes/113.jpg,199.0,96.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 9, ""endorsement_tier"": ""gold""}",2021-10-17
114,Alisson Becker,1992-10-02,Brazilian,M,TRUE,Liverpool goalkeeper,https://cdn.sportsimages.com/athletes/114.jpg,193.0,91.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 11, ""endorsement_tier"": ""silver""}",2021-06-11
115,Rodrygo,2001-01-09,Brazilian,M,TRUE,Real Madrid forward,https://cdn.sportsimages.com/athletes/115.jpg,174.0,64.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""gold""}",2020-09-29
116,Ruben Dias,1997-05-14,Portuguese,M,TRUE,"Manchester City defender, 2021 PFA POTY",https://cdn.sportsimages.com/athletes/116.jpg,187.0,83.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 13, ""endorsement_tier"": ""silver""}",2021-08-14
117,Ruben Neves,1997-03-13,Portuguese,M,TRUE,"Saudi Pro League midfielder, Al Hilal",https://cdn.sportsimages.com/athletes/117.jpg,178.0,73.0,"{""sport_id"": 3, ""preferred_hand"": ""right"", ""shoe_size"": 14, ""endorsement_tier"": ""silver""}",2020-07-12
118,Rohit Sharma,1987-04-30,Indian,M,TRUE,India T20 World Cup captain 2024,https://cdn.sportsimages.com/athletes/118.jpg,174.0,75.0,"{""sport_id"": 10, ""preferred_hand"": ""right"", ""shoe_size"": 12, ""endorsement_tier"": ""platinum""}",2022-05-10
119,Ben Stokes,1991-06-04,British,M,TRUE,"England Test captain, 2019 World Cup hero",https://cdn.sportsimages.com/athletes/119.jpg,187.0,96.0,"{""sport_id"": 10, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""platinum""}",2022-05-03
120,Pat Cummins,1993-05-08,Australian,M,TRUE,"Australia captain, 2023 World Cup champion",https://cdn.sportsimages.com/athletes/120.jpg,193.0,97.0,"{""sport_id"": 10, ""preferred_hand"": ""right"", ""shoe_size"": 10, ""endorsement_tier"": ""silver""}",2020-06-25
